"","SUNSID","Acres","BUFF_DIST","Method","Start","Buff03km","Buffer05km","Buffer1km","Buff03SLR2","Buff05SLR2ft","Buff1SLR2ft","Buff03SFHA","Buff05SFHA","Buff1SFHA"
"68","PAN19",5.59999990463257,300,"ParcelAll_bldgcnt","Footprint",59,NA,NA,0,NA,NA,0,NA,NA
"69","PAN19",5.59999990463257,300,"ParcelRes_count","Footprint",46,NA,NA,0,NA,NA,0,NA,NA
"70","PAN19",5.59999990463257,300,"ParcelAll_count","Footprint",123,NA,NA,10,NA,NA,25,NA,NA
"71","PAN17",4.48000001907349,300,"Landscan_pop","Footprint",281,NA,NA,2,NA,NA,25,NA,NA
"72","PAN17",4.48000001907349,300,"Census_pop20","Footprint",342.399860269721,NA,NA,1.7530881490695,NA,NA,9.05842695331849,NA,NA
"73","PAN17",4.48000001907349,300,"ParcelAll_bldgcnt","Footprint",176,NA,NA,0,NA,NA,3,NA,NA
"74","PAN17",4.48000001907349,300,"ParcelRes_count","Footprint",172,NA,NA,9,NA,NA,13,NA,NA
"75","PAN17",4.48000001907349,300,"ParcelAll_count","Footprint",192,NA,NA,11,NA,NA,16,NA,NA
"76","PAN01",5.76999998092651,300,"Landscan_pop","Footprint",21,NA,NA,0,NA,NA,20,NA,NA
"77","PAN01",5.76999998092651,300,"Census_pop20","Footprint",7.60566426861854,NA,NA,0.00333329997773729,NA,NA,1.74641637789775,NA,NA
"78","PAN01",5.76999998092651,300,"ParcelAll_bldgcnt","Footprint",24,NA,NA,0,NA,NA,10,NA,NA
"79","PAN01",5.76999998092651,300,"ParcelRes_count","Footprint",8,NA,NA,0,NA,NA,8,NA,NA
"80","PAN01",5.76999998092651,300,"ParcelAll_count","Footprint",36,NA,NA,12,NA,NA,35,NA,NA
"81","PAN12",15.5500001907349,300,"Landscan_pop","Footprint",504,NA,NA,5,NA,NA,103,NA,NA
"82","PAN12",15.5500001907349,300,"Census_pop20","Footprint",499.368840821436,NA,NA,18.5986770266375,NA,NA,137.278055097904,NA,NA
"83","PAN12",15.5500001907349,300,"ParcelAll_bldgcnt","Footprint",332,NA,NA,0,NA,NA,94,NA,NA
"84","PAN12",15.5500001907349,300,"ParcelRes_count","Footprint",281,NA,NA,3,NA,NA,79,NA,NA
"85","PAN12",15.5500001907349,300,"ParcelAll_count","Footprint",395,NA,NA,17,NA,NA,143,NA,NA
"86","PAN10",0.140000000596046,300,"Landscan_pop","Footprint",245,NA,NA,1,NA,NA,191,NA,NA
